user_id,timestamp,hour,day_of_week,data_volume_mb,num_files_accessed,login_attempts,failed_logins,location,device,session_duration_min,is_anomalous
U010,2025-11-27 01:55:48,1,3,110.42,16,4,0,Remote_VPN,Laptop_B,51.68,1
U025,2025-11-27 02:34:48,2,3,59.01,8,1,0,Office_B,Unknown_Device,3.15,1
U032,2025-11-27 09:08:48,9,3,10.16,2,1,0,Office_A,Laptop_B,11.1,0
U031,2025-11-27 09:15:48,9,3,8.37,3,1,0,Office_B,Desktop_A,8.62,0
U045,2025-11-27 10:25:48,10,3,7.5,3,1,0,Office_B,Laptop_B,0.62,0
U034,2025-11-27 10:52:48,10,3,5.19,10,1,0,Office_B,Desktop_A,12.62,0
U019,2025-11-27 11:17:48,11,3,4.92,6,1,0,Office_A,Laptop_B,58.39,0
U049,2025-11-27 11:18:48,11,3,8.0,3,1,0,Office_B,Laptop_B,33.19,0
U048,2025-11-27 11:59:48,11,3,5.83,3,1,0,Remote_VPN,Desktop_A,88.38,0
U032,2025-11-27 12:19:48,12,3,14.18,4,1,0,Office_A,Laptop_B,32.11,0
U002,2025-11-27 12:21:47,12,3,12.05,7,1,0,Office_A,Laptop_B,55.71,0
U046,2025-11-27 12:23:48,12,3,24.3,3,1,0,Office_B,Laptop_A,2.6,0
U007,2025-11-27 12:28:48,12,3,7.93,7,1,0,Office_A,Desktop_A,4.55,0
U025,2025-11-27 12:30:48,12,3,98.17,14,1,0,Remote_VPN,Unknown_Device,35.47,1
U049,2025-11-27 12:33:48,12,3,5.53,6,1,0,Office_A,Laptop_B,19.65,0
U048,2025-11-27 12:41:48,12,3,17.13,4,1,0,Office_B,Desktop_A,89.26,0
U004,2025-11-27 12:52:47,12,3,6.14,6,1,0,Office_A,Laptop_A,17.59,0
U047,2025-11-27 12:54:48,12,3,4.57,2,1,0,Office_B,Desktop_A,90.2,0
U009,2025-11-27 13:06:48,13,3,2.3,9,1,0,Office_A,Desktop_A,63.54,0
U014,2025-11-27 13:28:48,13,3,9.7,8,1,0,Office_B,Laptop_A,1.32,0
U003,2025-11-27 13:49:47,13,3,8.25,2,1,0,Office_B,Laptop_A,72.29,0
